player_id,team_id,league_id,position,role,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,second_nation_id,weight,height,retired,free_agent,last_league_id,last_team_id,organization_id,last_organization_id,language_ids0,language_ids1,uniform_number,experience,person_type,bats,throws,personality_greed,personality_loyalty,personality_play_for_winner,personality_work_ethic,personality_intelligence,personality_leader,historical_id,historical_team_id,best_contract_offer_id,injury_is_injured,injury_dtd_injury,injury_career_ending,injury_dl_left,injury_dl_playoff_round,injury_left,dtd_injury_effect,injury_id,prone_overall,prone_leg,prone_back,prone_arm,fatigue_pitches0,fatigue_pitches1,fatigue_pitches2,fatigue_pitches3,fatigue_pitches4,fatigue_pitches5,fatigue_points,fatigue_played_today,running_ratings_speed,running_ratings_stealing,running_ratings_baserunning,college,draft_year,draft_round,draft_supplemental,draft_pick,draft_overall_pick,draft_eligible,hidden,draft_league_id,draft_team_id,turned_coach,hall_of_fame,rust,inducted,strategy_override_team,strategy_stealing,strategy_running,strategy_bunt_for_hit,strategy_sac_bunt,strategy_hit_run,strategy_hook_start,strategy_hook_relief,strategy_pitch_count,strategy_pitch_around,strategy_no_pinch_if_rested,strategy_never_pinch_hit,strategy_defensive_sub,strategy_dtd_sit_min,strategy_dtd_allow_ph,local_pop,national_pop,draft_protected,morale,morale_player_performance,morale_team_performance,morale_team_transactions,expectation,morale_player_role
12,1,100,7,0,"Jim","Eisenreich","",38,"1959-4-18",69030,206,0,195,180,0,0,0,0,1,0,0,-1,8,13,0,2,2,79,165,84,161,82,114,"eisenji01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,6,1,47,170,156,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-38,417,6,0
13,1,100,7,0,"Cliff","Floyd","",24,"1972-12-5",13181,206,0,230,193,0,0,0,0,1,0,0,-1,15,4,0,2,1,114,102,130,118,122,71,"floydcl01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,22,1,170,150,110,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-43,449,2,0
14,1,100,1,12,"Felix","Heredia","",22,"1975-6-18",7059,56,0,160,183,0,0,0,0,1,0,1,0,49,1,0,2,2,129,43,107,119,85,118,"heredfe01","FLO",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,27,30,1,7,11,50,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,0,0,0,0,-40,0,4,0
15,1,100,1,11,"Livan","Hernandez","",22,"1975-2-20",0,49,0,220,188,0,0,0,0,1,0,1,-1,61,1,0,1,1,119,199,92,87,71,105,"hernali01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,36,38,1,10,11,52,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,'',0,0,2,0,0,0,-20,-39,0,4,0
16,1,100,2,0,"Charles","Johnson","",26,"1971-7-20",0,206,0,215,188,0,0,0,0,1,0,0,-1,23,3,0,1,1,77,73,107,121,75,128,"johnsch04","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,54,1,15,11,12,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,5,4,0,0,0,-40,0,2,0
17,1,100,1,12,"Al","Leiter","",31,"1965-10-23",80528,206,0,215,191,0,0,0,0,1,0,0,-1,25,10,0,2,2,109,91,27,90,77,119,"leiteal01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,88,98,1,9,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-32,0,3,0
18,1,100,1,13,"Robb","Nen","",27,"1969-11-28",0,206,0,200,193,0,0,0,0,1,0,0,-1,31,4,0,1,1,163,79,118,115,86,114,"nenro01","FLO",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,18,19,1,8,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,0,0,0,0,-41,0,4,0
19,1,100,1,12,"Jay","Powell","",25,"1972-1-9",49744,206,0,220,193,0,0,0,0,1,0,0,-1,39,2,0,1,1,80,198,93,104,82,80,"powelja04","FLO",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,9,11,31,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,-401,4,0
20,1,100,6,0,"Edgar","Renteria","",21,"1976-8-7",7310,44,0,172,185,0,0,0,0,1,0,0,-1,3,1,0,1,1,104,87,115,177,118,127,"renteed01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,23,1,175,155,145,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,2,2,0,0,0,-41,0,6,0
21,1,100,1,12,"Tony","Saunders","",23,"1974-4-29",6650,206,0,205,188,0,0,0,0,1,0,0,-1,41,0,0,2,2,96,113,85,114,82,99,"saundto01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,11,17,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,'',0,0,0,0,0,0,0,0,-443,3,0
22,1,100,9,0,"Gary","Sheffield","Sheff",28,"1968-11-18",78373,206,0,190,180,0,0,0,0,1,0,0,-1,10,9,0,1,1,13,94,124,105,75,183,"sheffga01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,22,1,113,153,117,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,6,6,0,0,0,-42,0,7,0
23,1,100,1,12,"Ed","Vosberg","",36,"1961-9-28",81480,206,0,190,185,0,0,0,0,1,0,0,-1,52,5,0,2,2,83,147,92,104,33,116,"vosbeed01","TEX",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,9,11,14,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,-426,4,0
24,1,100,8,0,"Devon","White","Devo",34,"1962-12-29",38612,97,0,182,188,0,0,0,0,1,0,1,0,22,12,0,3,1,119,82,127,74,127,93,"whitede03","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,20,1,142,154,155,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,1,0,0,0,-42,0,2,0
25,1,100,2,0,"Gregg","Zaun","",26,"1971-4-14",28713,206,0,170,178,0,0,0,0,1,0,0,1,9,2,0,3,1,147,105,71,16,81,61,"zaungr01","FLO",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,61,141,149,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,-447,2,0
26,2,100,2,0,"Sandy","Alomar Jr","",31,"1966-6-18",69451,151,0,215,196,0,0,0,0,2,0,1,-1,15,9,0,1,1,14,37,105,95,92,110,"alomasa02","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,56,1,29,60,56,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,6,6,0,0,0,20,0,2,0
27,2,100,1,12,"Brian J","Anderson","",25,"1972-4-26",60568,206,0,190,185,0,0,0,0,2,0,0,-1,34,4,0,3,2,108,71,92,118,111,113,"anderbr02","CLE",0,0,0,0,0,0,0,0,0,160,160,160,160,0,0,0,0,0,25,27,1,10,21,53,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,19,464,4,0
28,2,100,1,12,"Paul","Assenmacher","",36,"1960-12-10",20315,206,0,200,191,0,0,0,0,2,0,0,-1,45,11,0,2,2,31,95,82,126,170,123,"assenpa01","CLE",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,9,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,0,0,0,0,18,0,4,0
29,2,100,2,0,"Pat","Borders","",34,"1963-5-14",14625,206,0,200,188,0,0,0,0,2,0,0,-1,10,9,0,1,1,59,127,29,123,163,71,"bordepa01","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,31,60,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,-436,2,0
30,2,100,5,0,"Jeff","Branson","",30,"1967-1-26",85541,206,0,180,183,0,0,0,0,2,0,0,-1,20,5,0,2,1,186,56,130,116,71,16,"bransje01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,35,97,24,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,6,0
31,2,100,4,0,"Tony","Fernandez","",35,"1962-6-30",0,56,0,175,188,0,0,0,0,2,0,1,0,1,13,0,3,1,153,18,50,108,177,80,"fernato01","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,24,1,106,138,107,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,3,3,0,0,0,15,0,2,0
32,2,100,7,0,"Brian S","Giles","",26,"1971-1-20",23022,206,0,195,178,0,0,0,0,2,0,0,1,22,2,0,2,2,85,89,174,77,86,80,"gilesbr02","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,102,152,103,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,2,1,0,0,0,27,0,2,0
33,2,100,8,0,"Marquis","Grissom","",30,"1967-4-17",4704,206,0,190,180,0,0,0,0,2,0,0,-1,17,8,0,1,1,100,82,79,116,103,111,"grissma02","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,23,1,138,142,119,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,2,2,0,0,0,17,0,2,0
34,2,100,1,12,"Orel","Hershiser","Bulldog",39,"1958-9-16",12314,206,0,192,191,0,0,0,0,2,0,0,-1,55,14,0,1,1,14,163,119,170,68,77,"hershor01","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,70,140,147,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,-418,3,0
35,2,100,1,13,"Michael","Jackson","",32,"1964-12-22",32688,206,0,200,183,0,0,0,0,2,0,0,-1,42,11,0,1,1,77,70,151,184,87,77,"jacksmi02","CLE",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,29,30,1,9,11,35,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,25,0,4,0
36,2,100,1,11,"Jeff","Juden","",26,"1971-1-19",69393,206,0,265,203,0,0,0,0,2,0,0,-1,14,5,0,1,1,41,158,92,159,128,59,"judenje01","MON",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,10,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,-421,3,0
37,2,100,7,0,"David","Justice","",31,"1966-4-14",13776,206,0,200,191,0,0,0,0,2,0,0,1,23,8,0,2,2,107,136,75,75,179,99,"justida01","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,6,1,41,132,86,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,6,5,0,0,0,17,0,2,0
38,2,100,5,0,"Jeff","Manto","",33,"1964-8-23",11777,206,0,210,191,0,0,0,0,2,0,0,1,12,5,0,1,1,10,127,85,188,51,133,"mantoje01","CLE",0,0,0,0,0,0,0,0,0,160,160,160,160,0,0,0,0,0,0,0,0,50,77,95,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,0,0,0,0,0,0,6,0
39,2,100,1,12,"Jose","Mesa","Joe Table",31,"1966-5-22",61297,56,0,225,191,0,0,0,0,2,0,1,0,49,8,0,1,1,41,84,38,91,17,20,"mesajo01","CLE",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,4,5,1,6,11,31,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,0,0,0,20,13,0,4,0
40,2,100,1,12,"Alvin","Morman","",28,"1969-1-6",66436,206,0,210,191,0,0,0,0,2,0,0,1,51,1,0,2,2,8,102,41,197,121,132,"mormaal01","CLE",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,17,19,1,7,11,14,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,14,449,4,0
41,2,100,1,11,"Charles","Nagy","",30,"1967-5-5",11664,206,0,200,191,0,0,0,0,2,0,0,-1,41,7,0,2,1,140,134,104,105,108,75,"nagych01","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,94,103,1,7,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,20,0,3,0
42,2,100,1,12,"Chad","Ogea","",26,"1970-11-9",43185,206,0,200,188,0,0,0,0,2,0,0,-1,37,3,0,1,1,30,197,36,108,87,71,"ogeach01","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,8,11,11,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,-401,3,0
43,2,100,1,12,"Eric","Plunk","",34,"1963-9-3",87007,206,0,217,196,0,0,0,0,2,0,0,-1,38,11,0,1,1,125,172,85,172,52,96,"plunker01","CLE",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,23,26,1,9,11,53,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,18,0,4,0
44,2,100,9,0,"Manny","Ramirez","Manny Being Manny",25,"1972-5-30",71432,56,0,190,183,0,0,0,0,2,0,1,0,24,4,0,1,1,96,80,98,109,77,111,"ramirma02","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,24,1,34,123,122,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,6,6,0,0,0,19,0,2,0
45,2,100,7,0,"Bip","Roberts","",33,"1963-10-27",8786,206,0,165,170,0,0,0,0,2,0,0,-1,1,10,0,3,1,161,128,100,172,71,108,"roberbi01","KCA",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,24,1,138,163,51,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,50,20,0,2,0
46,2,100,3,0,"Kevin","Seitzer","",35,"1962-3-26",75712,206,0,190,180,0,0,0,0,2,0,0,-1,20,11,0,1,1,82,89,54,172,119,167,"seitzke01","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,23,152,88,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,6,0
47,2,100,3,0,"Jim","Thome","",27,"1970-8-27",63646,206,0,220,193,0,0,0,0,2,0,0,-1,25,6,0,2,1,105,121,79,76,196,95,"thomeji01","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,18,1,10,26,27,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,6,5,0,0,50,17,0,2,0
48,2,100,6,0,"Omar","Vizquel","Little O",30,"1967-4-24",17321,210,0,165,175,0,0,0,0,2,0,0,-1,13,8,0,3,1,112,184,178,173,114,119,"vizquom01","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,24,1,170,168,184,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'',0,0,5,4,0,0,0,27,0,7,0
49,2,100,5,0,"Matt D","Williams","Carson Crusher",31,"1965-11-28",9755,206,0,210,188,0,0,0,0,2,0,0,-1,22,10,0,1,1,24,197,29,128,129,90,"willima04","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,24,1,65,146,102,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,5,5,0,0,0,12,0,2,0
50,2,100,1,12,"Jaret","Wright","",21,"1975-12-29",2845,206,0,220,188,0,0,0,0,2,0,0,-1,27,0,0,1,1,97,77,119,107,64,80,"wrighja02","CLE",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,-461,4,0
